text1,text2,score
I am sad,The bed is comfortable,0.09
The movie was boring,I am cooking dinner,0.02
I am feeling great,I feel nervous,0.84
The bed is comfortable,I am playing football,0.28
The computer is running,I am playing football,0.11
I am learning something new,It is windy today,0.39
I am happy,The weather is hot,0.19
I am tired,I am happy,0.79
I am learning something new,The weather is hot,0.26
It is raining today,It is raining today,0.54
I am going to the gym,I am cooking dinner,0.96
I am reading a book,I am watching a movie,0.57
It is windy today,I am going to the gym,0.46
The food tastes great,The movie was boring,0.76
I feel excited,I feel nervous,0.55
I am cleaning my room,I am watching a movie,0.56
I love listening to music,The movie was boring,0.76
It is cloudy today,I am cooking dinner,0.45
I am cleaning my room,I love listening to music,0.33
I feel nervous,I am going to the gym,0.49
I feel excited,The food tastes great,0.48
I am cooking dinner,I am playing football,0.66
It is sunny today,It might snow today,0.58
I am learning something new,I feel nervous,0.3
I am cleaning my room,I am studying for exams,0.71
I am scared,I am tired,0.6
It is humid today,It is raining today,0.91
I am studying for exams,I am studying for exams,0.85
I am playing football,I am cooking dinner,0.93
I am happy,I am cooking dinner,0.4
I am feeling great,I am tired,0.9
The movie was boring,I am cooking dinner,0.32
The weather is hot,I am scared,0.39
I am studying for exams,I am going to the gym,0.68
The bed is comfortable,The weather is cold,0.04
The food tastes great,I am learning something new,0.86
The weather is cold,The bed is comfortable,0.22
I am studying for exams,I am playing football,0.52
I am reading a book,The computer is running,0.42
I am tired,I am a bit upset,0.7
It might snow today,I am cleaning my room,0.0
It is windy today,It might snow today,0.83
It is cloudy today,It might snow today,0.76
The computer is running,I am cleaning my room,0.03
I am tired,The computer is running,0.08
I am cleaning my room,I am watching a movie,0.96
I am tired,I love listening to music,0.24
I am coding a project,I am reading a book,0.84
It is raining today,The weather is cold,0.74
It is windy today,The weather is hot,0.79
The weather is hot,It is cloudy today,0.68
The bed is comfortable,I am learning something new,0.83
It might snow today,It might snow today,0.76
It might snow today,I feel nervous,0.1
The weather is cold,The computer is running,0.21
I am cleaning my room,I am playing football,0.64
I love listening to music,The food tastes great,0.82
It is raining today,The weather is hot,0.65
It might snow today,I am learning something new,0.4
The computer is running,The food tastes great,0.52
I feel nervous,The food tastes great,0.38
The weather is hot,I am feeling great,0.35
I am cooking dinner,It is raining today,0.43
I am a bit upset,I am playing football,0.06
The weather is cold,I am going to the gym,0.48
I am going to the gym,I am happy,0.0
The bed is comfortable,I am a bit upset,0.48
I am cleaning my room,It is sunny today,0.47
I am playing football,I am going to the gym,0.89
I am feeling great,I am sad,0.72
I feel nervous,It might snow today,0.13
It is raining today,It might snow today,0.8
The bed is comfortable,I am learning something new,0.54
It is sunny today,I am cooking dinner,0.25
I love listening to music,The movie was boring,0.79
The bed is comfortable,The weather is cold,0.29
I am cleaning my room,It is windy today,0.48
It is windy today,I am studying for exams,0.1
I am going to the gym,I am a bit upset,0.11
I am cooking dinner,It might snow today,0.06
I am playing football,It might snow today,0.09
It is raining today,I am scared,0.45
I am reading a book,I am happy,0.16
The computer is running,I love listening to music,0.67
It is humid today,I am sad,0.35
I am feeling great,I am a bit upset,0.56
I am watching a movie,I am watching a movie,0.79
I love listening to music,I am sad,0.28
The weather is cold,The weather is cold,0.88
The movie was boring,The computer is running,0.59
The food tastes great,It is cloudy today,0.1
I am coding a project,The weather is cold,0.13
It is humid today,I love listening to music,0.17
I am cleaning my room,I am studying for exams,0.68
I am watching a movie,I am watching a movie,0.72
I am coding a project,The food tastes great,0.42
It might snow today,It might snow today,0.54
I am learning something new,I am reading a book,0.47
The bed is comfortable,The bed is comfortable,0.65
I am tired,I am scared,0.6
The weather is cold,I am cleaning my room,0.25
I love listening to music,It is sunny today,0.21
I am playing football,I am watching a movie,0.74
I am going to the gym,I am playing football,0.51
I am sad,I am feeling great,0.94
I feel nervous,I am sad,0.69
It is cloudy today,I am tired,0.25
I am playing football,The weather is cold,0.04
The weather is hot,It is sunny today,0.71
It is sunny today,It is sunny today,0.89
The computer is running,I love listening to music,0.64
The food tastes great,I am watching a movie,0.41
It might snow today,I am learning something new,0.32
It might snow today,It is cloudy today,0.76
I am reading a book,It is cloudy today,0.08
The food tastes great,The computer is running,0.57
The food tastes great,I am learning something new,0.63
It is windy today,I am sad,0.39
I am going to the gym,I am playing football,0.61
I am learning something new,It is sunny today,0.35
I am happy,I am going to the gym,0.11
The computer is running,The bed is comfortable,0.98
I am learning something new,I am coding a project,0.02
I am a bit upset,It is cloudy today,0.4
I feel nervous,I feel nervous,0.85
I am a bit upset,I am going to the gym,0.33
I am tired,The food tastes great,0.04
I am coding a project,I am playing football,0.55
The movie was boring,The computer is running,0.88
It is humid today,The bed is comfortable,0.16
It might snow today,I love listening to music,0.23
I am coding a project,I am reading a book,1.0
I feel excited,I feel nervous,0.84
I am reading a book,I am studying for exams,0.51
The bed is comfortable,I am feeling great,0.17
I am scared,The movie was boring,0.16
I am going to the gym,I am studying for exams,0.85
I am cleaning my room,I am watching a movie,0.51
It might snow today,It is sunny today,0.61
It is raining today,I am tired,0.23
I am reading a book,It might snow today,0.49
I am studying for exams,I am reading a book,0.7
I am studying for exams,The movie was boring,0.01
I am a bit upset,I am learning something new,0.48
The bed is comfortable,It is humid today,0.16
It is cloudy today,It is windy today,0.56
The weather is hot,I am sad,0.29
I am happy,I am watching a movie,0.14
The weather is cold,I am cooking dinner,0.11
I love listening to music,The computer is running,0.76
The food tastes great,The computer is running,0.84
I am cooking dinner,I am learning something new,0.03
I am feeling great,I am cleaning my room,0.5
It is cloudy today,I am feeling great,0.04
It is raining today,The weather is cold,0.74
I am tired,I feel nervous,0.84
I am studying for exams,I am coding a project,0.85
I love listening to music,I am cleaning my room,0.33
I am a bit upset,The movie was boring,0.27
The bed is comfortable,It is raining today,0.46
I am a bit upset,The weather is hot,0.06
I am feeling great,The weather is hot,0.41
I am tired,I feel excited,0.55
The bed is comfortable,It is humid today,0.15
It might snow today,It is raining today,0.95
I am studying for exams,I am playing football,0.72
I am cooking dinner,The food tastes great,0.42
It is cloudy today,The weather is hot,0.81
I am a bit upset,I am reading a book,0.32
I am scared,The weather is hot,0.2
I am playing football,I am tired,0.12
I feel nervous,I feel excited,0.87
I am watching a movie,I am cooking dinner,0.85
It might snow today,It is cloudy today,0.73
I am coding a project,I love listening to music,0.35
The movie was boring,I am learning something new,0.51
The bed is comfortable,The bed is comfortable,0.55
The movie was boring,I feel excited,0.3
I am watching a movie,I am cleaning my room,0.72
I am playing football,I am cleaning my room,0.91
I am learning something new,I am playing football,0.13
It is sunny today,I feel nervous,0.25
I am a bit upset,The weather is cold,0.24
It is raining today,It is cloudy today,0.71
I am feeling great,It is cloudy today,0.23
I am learning something new,The computer is running,0.93
The computer is running,The computer is running,0.99
It might snow today,I am reading a book,0.36
I am reading a book,I am learning something new,0.21
The computer is running,The food tastes great,0.72
It is sunny today,I am a bit upset,0.16
It is raining today,The weather is hot,0.87
I love listening to music,I am learning something new,0.73
It is humid today,It is sunny today,0.99
I am cooking dinner,It is raining today,0.04
It is cloudy today,It might snow today,0.56
It might snow today,It is humid today,0.59
I am cleaning my room,It is sunny today,0.47
It is sunny today,I am feeling great,0.05
I am tired,I am happy,0.73
I am feeling great,I feel excited,0.59
It is raining today,It is raining today,0.6
I am cooking dinner,It might snow today,0.29
I am studying for exams,I am tired,0.1
I love listening to music,The computer is running,0.8
The bed is comfortable,The weather is hot,0.13
The weather is cold,The food tastes great,0.15
It might snow today,The weather is hot,0.73
I feel nervous,I am scared,0.74
I feel excited,I feel nervous,0.97
The computer is running,I am learning something new,0.89
It is raining today,It might snow today,0.71
I am cleaning my room,I am studying for exams,0.72
The weather is cold,It is sunny today,0.68
I love listening to music,The bed is comfortable,0.9
I am sad,It is sunny today,0.13
I feel excited,The bed is comfortable,0.36
The weather is hot,I am sad,0.23
It is humid today,It is cloudy today,0.87
I am happy,It might snow today,0.08
It is cloudy today,I am playing football,0.33
It is cloudy today,It is raining today,0.79
I love listening to music,The movie was boring,0.98
I am reading a book,I am feeling great,0.41
The bed is comfortable,The weather is hot,0.43
I am learning something new,It is humid today,0.05
It is sunny today,I feel excited,0.03
I am cooking dinner,It might snow today,0.22
I am a bit upset,I am scared,0.74
I am scared,I am happy,0.82
The movie was boring,I am learning something new,0.7
I am feeling great,I am happy,0.95
The weather is cold,It is cloudy today,0.99
I am playing football,It is sunny today,0.13
It is windy today,It might snow today,0.63
I am feeling great,I am learning something new,0.35
I am reading a book,I am cooking dinner,0.81
I am studying for exams,I am reading a book,0.83
I am watching a movie,The weather is hot,0.22
I am cooking dinner,It is sunny today,0.43
The computer is running,The bed is comfortable,0.78
I am playing football,I am a bit upset,0.27
I feel excited,I am going to the gym,0.19
It is raining today,It might snow today,0.76
I am reading a book,I am happy,0.11
I am studying for exams,I am studying for exams,0.54
The movie was boring,The movie was boring,0.74
I feel nervous,It might snow today,0.12
The weather is hot,I am scared,0.23
I feel nervous,I feel nervous,0.74
I am learning something new,I am learning something new,0.85
I am learning something new,It might snow today,0.19
The computer is running,I am coding a project,0.34
I am learning something new,I am tired,0.19
I feel nervous,It might snow today,0.43
It is humid today,It is windy today,0.68
I am a bit upset,It is raining today,0.44
I am sad,I am scared,0.95
I am reading a book,I feel excited,0.36
I am happy,I am tired,0.55
The movie was boring,I am cleaning my room,0.34
I am coding a project,I am reading a book,0.61
The movie was boring,I am learning something new,0.61
It might snow today,It might snow today,0.55
The bed is comfortable,It is humid today,0.32
The weather is cold,It might snow today,0.82
I am going to the gym,The movie was boring,0.24
The computer is running,The food tastes great,0.9
I am studying for exams,I am sad,0.45
I love listening to music,It is windy today,0.05
The weather is hot,It is humid today,0.81
I am watching a movie,I am playing football,0.65
I am sad,I am a bit upset,0.9
It is windy today,I am feeling great,0.15
The food tastes great,I am studying for exams,0.25
The weather is hot,I am learning something new,0.48
I am happy,It is raining today,0.1
It is cloudy today,It is sunny today,0.98
It might snow today,It is cloudy today,0.76
I am learning something new,It is raining today,0.03
The weather is hot,I am playing football,0.09
I feel excited,It is sunny today,0.1
I am tired,I am cooking dinner,0.13
I am going to the gym,The food tastes great,0.29
I am going to the gym,I am happy,0.25
The weather is hot,I am cleaning my room,0.2
It is humid today,I am studying for exams,0.1
I am feeling great,I am happy,0.78
I am reading a book,It is humid today,0.17
I am happy,The weather is cold,0.19
I am learning something new,The bed is comfortable,0.51
The computer is running,I am sad,0.11
I am watching a movie,I am going to the gym,0.74
I am coding a project,I am cooking dinner,0.58
I love listening to music,The movie was boring,0.85
I am sad,The movie was boring,0.17
I am cleaning my room,The food tastes great,0.16
It is sunny today,The weather is cold,0.62
The food tastes great,The bed is comfortable,0.91
The weather is hot,I am a bit upset,0.25
It might snow today,It is humid today,0.72
I am learning something new,The weather is hot,0.07
The bed is comfortable,The bed is comfortable,0.68
The weather is hot,The weather is hot,0.8
The weather is cold,I am coding a project,0.04
I am studying for exams,It is humid today,0.38
I feel excited,I am cooking dinner,0.38
I am playing football,The food tastes great,0.09
I am watching a movie,I am going to the gym,0.99
It is windy today,It is humid today,0.59
I am happy,I am sad,0.51
It is raining today,It is raining today,0.67
The computer is running,The computer is running,0.95
The weather is hot,I am reading a book,0.1
I am happy,I feel excited,0.63
I feel nervous,The food tastes great,0.11
I am watching a movie,I am scared,0.01
It is sunny today,The weather is cold,0.61
I am studying for exams,I am studying for exams,0.79
It is cloudy today,I am tired,0.37
I feel nervous,The weather is hot,0.35
The bed is comfortable,The food tastes great,0.56
I love listening to music,It is sunny today,0.44
I am going to the gym,I am going to the gym,0.94
I am learning something new,I love listening to music,0.85
